Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7471910112359551,0.7346938775510204,0.5294117647058824,0.6153846153846154,0.8258689839572192
Random Forest,0.797752808988764,0.7580645161290323,0.6911764705882353,0.7230769230769231,0.8211898395721925
Tuned Random Forest,0.8146067415730337,0.7868852459016393,0.7058823529411765,0.7441860465116279,0.8283422459893048
